AÑO,SEDE,FACULTAD,CARRERA,OBSERVACIONES
2019,SEDE 6,FACULTAD 4,LICENCIATURA 14,2
2019,SEDE 6,FACULTAD 4,LICENCIATURA 14,2
2019,SEDE 6,FACULTAD 4,LICENCIATURA 15,2
2019,SEDE 6,FACULTAD 4,LICENCIATURA 15,2
2019,SEDE 6,FACULTAD 4,LICENCIATURA 15,2
2019,SEDE 4,FACULTAD 3,LICENCIATURA 10,2
2019,SEDE 5,FACULTAD 3,LICENCIATURA 08,2
2019,SEDE 5,FACULTAD 3,LICENCIATURA 08,2
2019,SEDE 1,FACULTAD 6,LICENCIATURA 24,2
2019,SEDE 1,FACULTAD 6,LICENCIATURA 24,2
2019,SEDE 1,FACULTAD 1,INGENIERIA 01,2
2019,SEDE 1,FACULTAD 1,INGENIERIA 01,2
2019,SEDE 1,FACULTAD 1,INGENIERIA 01,2
2019,SEDE 1,FACULTAD 1,INGENIERIA 01,2
2019,SEDE 1,FACULTAD 1,INGENIERIA 01,2
2019,SEDE 1,FACULTAD 1,INGENIERIA 01,2
2019,SEDE 1,FACULTAD 1,INGENIERIA 01,2
2019,SEDE 1,FACULTAD 1,LICENCIATURA 01,2
2019,SEDE 1,FACULTAD 1,INGENIERIA 03,2
2019,SEDE 1,FACULTAD 1,INGENIERIA 03,2
2019,SEDE 1,FACULTAD 1,INGENIERIA 05,2
2019,SEDE 1,FACULTAD 1,LICENCIATURA 02,2
2019,SEDE 1,FACULTAD 1,LICENCIATURA 02,2
2019,SEDE 1,FACULTAD 1,LICENCIATURA 03,2
2019,SEDE 1,FACULTAD 1,LICENCIATURA 04,2
2019,SEDE 1,FACULTAD 1,LICENCIATURA 04,2
2019,SEDE 1,FACULTAD 1,LICENCIATURA 05,2
2019,SEDE 1,FACULTAD 1,LICENCIATURA 05,2
2019,SEDE 1,FACULTAD 1,POSTGRADO 16,2
2019,SEDE 1,FACULTAD 5,INGENIERIA 23,2
2019,SEDE 1,FACULTAD 5,LICENCIATURA 27,2
2019,SEDE 1,FACULTAD 5,LICENCIATURA 21,2
2019,SEDE 1,FACULTAD 5,LICENCIATURA 21,2
2019,SEDE 1,FACULTAD 5,LICENCIATURA 21,2
2019,SEDE 1,FACULTAD 5,LICENCIATURA 21,2
2019,SEDE 1,FACULTAD 5,LICENCIATURA 22,2
2019,SEDE 1,FACULTAD 5,LICENCIATURA 22,2
2019,SEDE 1,FACULTAD 5,LICENCIATURA 22,2
2019,SEDE 1,FACULTAD 5,LICENCIATURA 22,2
2019,SEDE 1,FACULTAD 5,LICENCIATURA 22,2
2019,SEDE 1,FACULTAD 5,INGENIERIA 24,2
2019,SEDE 1,FACULTAD 5,INGENIERIA 25,2
2019,SEDE 1,FACULTAD 5,INGENIERIA 25,2
2019,SEDE 1,FACULTAD 5,INGENIERIA 25,2
2019,SEDE 1,FACULTAD 5,INGENIERIA 25,2
2019,SEDE 1,FACULTAD 5,INGENIERIA 25,2
2019,SEDE 1,FACULTAD 5,INGENIERIA 25,2
2019,SEDE 1,FACULTAD 5,INGENIERIA 25,2
2019,SEDE 1,FACULTAD 5,LICENCIATURA 23,2
2019,SEDE 1,FACULTAD 5,LICENCIATURA 23,2
2019,SEDE 1,FACULTAD 5,LICENCIATURA 23,2
2019,SEDE 1,FACULTAD 5,LICENCIATURA 23,2
2019,SEDE 1,FACULTAD 5,LICENCIATURA 23,2
2019,SEDE 1,FACULTAD 5,POSTGRADO 10,2
2019,SEDE 1,FACULTAD 5,POSTGRADO 10,2
2019,SEDE 1,FACULTAD 2,INGENIERIA 07,2
2019,SEDE 1,FACULTAD 2,INGENIERIA 08,2
2019,SEDE 1,FACULTAD 2,INGENIERIA 08,2
2019,SEDE 1,FACULTAD 2,INGENIERIA 08,2
2019,SEDE 1,FACULTAD 2,INGENIERIA 12,2
2019,SEDE 1,FACULTAD 2,TÉCNICO 05,2
2019,SEDE 1,FACULTAD 3,INGENIERIA 14,2
2019,SEDE 1,FACULTAD 3,INGENIERIA 15,2
2019,SEDE 1,FACULTAD 3,INGENIERIA 15,2
2019,SEDE 1,FACULTAD 3,LICENCIATURA 08,2
2019,SEDE 1,FACULTAD 3,LICENCIATURA 08,2
2019,SEDE 1,FACULTAD 3,LICENCIATURA 08,2
2019,SEDE 1,FACULTAD 3,LICENCIATURA 08,2
2019,SEDE 1,FACULTAD 3,LICENCIATURA 08,2
2019,SEDE 1,FACULTAD 3,LICENCIATURA 08,2
2019,SEDE 1,FACULTAD 3,LICENCIATURA 09,2
2019,SEDE 1,FACULTAD 3,LICENCIATURA 09,2
2019,SEDE 1,FACULTAD 3,LICENCIATURA 10,2
2019,SEDE 1,FACULTAD 3,LICENCIATURA 10,2
2019,SEDE 1,FACULTAD 3,LICENCIATURA 10,2
2019,SEDE 1,FACULTAD 3,LICENCIATURA 10,2
2019,SEDE 1,FACULTAD 3,LICENCIATURA 12,2
2019,SEDE 1,FACULTAD 3,INGENIERIA 28,2
2019,SEDE 1,FACULTAD 3,POSTGRADO 14,2
2019,SEDE 1,FACULTAD 3,POSTGRADO 41,2
2019,SEDE 1,FACULTAD 4,INGENIERIA 17,2
2019,SEDE 1,FACULTAD 4,INGENIERIA 18,2
2019,SEDE 1,FACULTAD 4,INGENIERIA 20,2
2019,SEDE 1,FACULTAD 4,INGENIERIA 21,2
2019,SEDE 1,FACULTAD 4,INGENIERIA 21,2
2019,SEDE 1,FACULTAD 4,INGENIERIA 21,2
2019,SEDE 1,FACULTAD 4,LICENCIATURA 14,2
2019,SEDE 1,FACULTAD 4,LICENCIATURA 14,2
2019,SEDE 1,FACULTAD 4,LICENCIATURA 14,2
2019,SEDE 1,FACULTAD 4,LICENCIATURA 15,2
2019,SEDE 1,FACULTAD 4,LICENCIATURA 16,2
2019,SEDE 1,FACULTAD 4,POSTGRADO 33,2
2019,SEDE 1,FACULTAD 4,POSTGRADO 09,2
2019,SEDE 1,FACULTAD 4,TÉCNICO 06,2
2019,SEDE 7,FACULTAD 6,POSTGRADO 12,2
2019,SEDE 7,FACULTAD 1,LICENCIATURA 04,2
2019,SEDE 7,FACULTAD 5,LICENCIATURA 21,2
2019,SEDE 7,FACULTAD 5,LICENCIATURA 22,2
2019,SEDE 7,FACULTAD 5,LICENCIATURA 22,2
2019,SEDE 7,FACULTAD 5,LICENCIATURA 22,2
2019,SEDE 7,FACULTAD 5,INGENIERIA 25,2
2019,SEDE 7,FACULTAD 5,LICENCIATURA 23,2
2019,SEDE 7,FACULTAD 3,LICENCIATURA 08,2
2019,SEDE 8,FACULTAD 1,INGENIERIA 01,2
2019,SEDE 8,FACULTAD 1,LICENCIATURA 04,2
2019,SEDE 8,FACULTAD 1,LICENCIATURA 04,2
2019,SEDE 8,FACULTAD 5,LICENCIATURA 20,2
2019,SEDE 8,FACULTAD 5,LICENCIATURA 22,2
2019,SEDE 8,FACULTAD 5,INGENIERIA 25,2
2019,SEDE 8,FACULTAD 2,INGENIERIA 07,2
2019,SEDE 8,FACULTAD 2,INGENIERIA 08,2
2019,SEDE 8,FACULTAD 4,LICENCIATURA 15,2
2019,SEDE 2,FACULTAD 2,INGENIERIA 08,3
